,Runtime (Minutes),Rating,Votes,Revenue (Millions),Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Christian Bale,Mark Wahlberg,Matthew McConaughey,Adam Sandler, Woody Harrelson,Jake Gyllenhaal,Denzel Washington, Rose Byrne,Will Smith,Brad Pitt,Leonardo DiCaprio, Michelle Monaghan,Tom Hardy, Cate Blanchett,Daniel Radcliffe, Joel Edgerton, Morgan Freeman, Anne Hathaway,Johnny Depp,Robert Downey Jr., Chloë Grace Moretz, Scarlett Johansson,Tom Hanks, Hugh Jackman,Jennifer Lawrence,Matt Damon, Charlize Theron,Tom Cruise,Michael Fassbender, Bradley Cooper,Channing Tatum, Rachel McAdams, Jamie Bell, Samuel L. Jackson, Emma Watson, Mark Strong, Jonah Hill, Ben Kingsley, Emma Stone, Kristen Wiig, Rachel Weisz,George Clooney, Zoe Saldana,Seth Rogen,Chris Hemsworth,Vin Diesel, Chiwetel Ejiofor, Mila Kunis,Naomi Watts,Sylvester Stallone, Rosario Dawson, Ben Foster, Leslie Mann,Hugh Jackman,Ben Affleck, Gerard Butler, Anna Kendrick,Jesse Eisenberg, Mark Ruffalo, Viola Davis, Josh Brolin,Chris Pine, Jude Law,Will Ferrell, Owen Wilson,Kristen Stewart,Shia LaBeouf, Liam Hemsworth, Ralph Fiennes, Theo James,Ridley Scott,Michael Bay,Paul W.S. Anderson,David Yates,M. Night Shyamalan,Danny Boyle,Denis Villeneuve,Christopher Nolan,Peter Berg,Woody Allen,J.J. Abrams,Antoine Fuqua,Justin Lin,David Fincher,Zack Snyder,Martin Scorsese,Francis Lawrence,Gore Verbinski,Adam McKay,Alexandre Aja,Louis Leterrier,David O. Russell,Nicholas Stoller,Quentin Tarantino,Jon Favreau,D.J. Caruso,Lars von Trier,Guillermo del Toro,Ron Howard,Movie_success
20,120.0,6.7,19053.0,7.22,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,floop
21,137.0,7.9,134213.0,47.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hit
22,108.0,6.7,1115.0,82.95637614678898,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hit
23,92.0,6.5,38552.0,153.69,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,floop
24,120.0,5.3,127553.0,103.14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,floop
25,83.0,6.8,222.0,82.95637614678898,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,floop
26,123.0,8.3,76193.0,6.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,floop
27,99.0,4.7,523.0,0.01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,floop
28,100.0,6.2,66540.0,113.08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hit
29,115.0,5.9,112813.0,54.65,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,floop
